Date,Vavuniya,Anuradhapura,Maha Illuppallama,Year,Month,Day,Vavuniya_lag1,Vavuniya_lag2,Vavuniya_lag3,Anuradhapura_lag1,Anuradhapura_lag2,Anuradhapura_lag3,Maha Illuppallama_lag1,Maha Illuppallama_lag2,Maha Illuppallama_lag3,Vavuniya_rolling_mean3,Vavuniya_rolling_mean7,Anuradhapura_rolling_mean3,Anuradhapura_rolling_mean7,Maha Illuppallama_rolling_mean3,Maha Illuppallama_rolling_mean7
2021-03-05,0.0,0.0,0.0,2021,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-06,0.0,0.0,5.5,2021,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333328,0.7857142857142855
2021-03-07,0.0,0.8,0.3,2021,3,7,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.26666666666666666,0.11428571428571531,1.9333333333333327,0.8285714285714283
2021-03-08,1.0,17.3,12.3,2021,3,8,0.0,0.0,0.0,0.8,0.0,0.0,0.3,5.5,0.0,0.3333333333333286,0.14285714285714285,6.033333333333334,2.5857142857142867,6.033333333333332,2.5857142857142854
2021-03-09,1.8,0.0,0.0,2021,3,9,1.0,0.0,0.0,17.3,0.8,0.0,12.3,0.3,5.5,0.9333333333333286,0.39999999999999997,6.033333333333334,2.5857142857142867,4.199999999999999,2.5857142857142854
2021-03-10,4.3,20.5,8.1,2021,3,10,1.8,1.0,0.0,0.0,17.3,0.8,0.0,12.3,0.3,2.366666666666662,1.0142857142857142,12.6,5.514285714285715,6.8,3.7428571428571424
2021-03-11,0.0,0.0,0.0,2021,3,11,4.3,1.8,1.0,20.5,0.0,17.3,8.1,0.0,12.3,2.0333333333333283,1.0142857142857142,6.833333333333333,5.514285714285715,2.699999999999999,3.7428571428571424
2021-03-12,0.0,0.0,0.0,2021,3,12,0.0,4.3,1.8,0.0,20.5,0.0,0.0,8.1,0.0,1.4333333333333285,1.0142857142857142,6.833333333333333,5.514285714285715,2.699999999999999,3.7428571428571424
2021-03-13,0.0,0.0,0.0,2021,3,13,0.0,0.0,4.3,0.0,0.0,20.5,0.0,0.0,8.1,0.0,1.0142857142857142,0.0,5.514285714285715,0.0,2.9571428571428564
2021-03-14,0.0,0.3,3.8,2021,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0142857142857142,0.09999999999999999,5.442857142857144,1.2666666666666655,3.4571428571428564
2021-03-15,0.0,0.0,0.0,2021,3,15,0.0,0.0,0.0,0.3,0.0,0.0,3.8,0.0,0.0,0.0,0.8714285714285713,0.09999999999999999,2.9714285714285724,1.2666666666666655,1.6999999999999993
2021-03-16,0.0,0.0,0.0,2021,3,16,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.8,0.0,0.0,0.6142857142857142,0.09999999999999999,2.9714285714285724,1.2666666666666655,1.6999999999999993
2021-03-17,0.0,0.0,0.0,2021,3,17,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.8,0.0,0.0,0.0,0.04285714285714387,0.0,0.5428571428571424
2021-03-18,0.0,0.0,0.0,2021,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714387,0.0,0.5428571428571424
2021-03-19,0.0,0.0,0.0,2021,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714387,0.0,0.5428571428571424
2021-03-20,0.0,0.4,3.6,2021,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.100000000000001,1.1999999999999988,1.0571428571428567
2021-03-21,4.2,0.0,0.0,2021,3,21,0.0,0.0,0.0,0.4,0.0,0.0,3.6,0.0,0.0,1.3999999999999952,0.6,0.13333333333333333,0.05714285714285816,1.1999999999999988,0.5142857142857138
2021-03-22,0.0,0.0,0.0,2021,3,22,4.2,0.0,0.0,0.0,0.4,0.0,0.0,3.6,0.0,1.3999999999999952,0.6,0.13333333333333333,0.05714285714285816,1.1999999999999988,0.5142857142857138
2021-03-23,0.0,0.0,0.0,2021,3,23,0.0,4.2,0.0,0.0,0.0,0.4,0.0,0.0,3.6,1.3999999999999952,0.6,0.0,0.05714285714285816,0.0,0.5142857142857138
2021-03-24,0.0,0.0,0.0,2021,3,24,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.05714285714285816,0.0,0.5142857142857138
2021-03-25,0.0,0.0,0.0,2021,3,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.05714285714285816,0.0,0.5142857142857138
2021-03-26,0.0,0.0,0.3,2021,3,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.05714285714285816,0.09999999999999881,0.5571428571428566
2021-03-27,0.5,0.0,0.2,2021,3,27,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.16666666666666194,0.6714285714285715,0.0,0.0,0.1666666666666655,0.07142857142857093
2021-03-28,0.0,0.0,0.0,2021,3,28,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.16666666666666194,0.07142857142857142,0.0,0.0,0.1666666666666655,0.07142857142857093
2021-03-29,0.0,1.2,7.2,2021,3,29,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.16666666666666194,0.07142857142857142,0.39999999999999997,0.17142857142857243,2.4666666666666655,1.0999999999999994
2021-03-30,0.0,0.0,0.0,2021,3,30,0.0,0.0,0.5,1.2,0.0,0.0,7.2,0.0,0.2,0.0,0.07142857142857142,0.39999999999999997,0.17142857142857243,2.399999999999999,1.0999999999999994
2021-03-31,0.0,0.0,0.0,2021,3,31,0.0,0.0,0.0,0.0,1.2,0.0,0.0,7.2,0.0,0.0,0.07142857142857142,0.39999999999999997,0.17142857142857243,2.399999999999999,1.0999999999999994
2021-04-01,0.0,0.0,0.0,2021,4,1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,7.2,0.0,0.07142857142857142,0.0,0.17142857142857243,0.0,1.0999999999999994
2021-04-02,0.0,0.0,0.0,2021,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.17142857142857243,0.0,1.0571428571428567
2021-04-03,0.0,0.0,0.0,2021,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857243,0.0,1.028571428571428
2021-04-04,5.2,0.0,0.0,2021,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333287,0.7428571428571429,0.0,0.17142857142857243,0.0,1.028571428571428
2021-04-05,0.0,0.0,0.0,2021,4,5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333287,0.7428571428571429,0.0,0.0,0.0,0.0
2021-04-06,0.0,0.0,0.0,2021,4,6,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333287,0.7428571428571429,0.0,0.0,0.0,0.0
2021-04-07,0.0,0.0,0.0,2021,4,7,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428571428571429,0.0,0.0,0.0,0.0
2021-04-08,1.5,0.2,0.0,2021,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999953,0.9571428571428572,0.06666666666666667,0.028571428571429587,0.0,0.0
2021-04-09,14.9,25.2,0.6,2021,4,9,1.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.4666666666666615,3.085714285714286,8.466666666666667,3.6285714285714294,0.19999999999999882,0.0857142857142852
2021-04-10,0.0,9.1,0.0,2021,4,10,14.9,1.5,0.0,25.2,0.2,0.0,0.6,0.0,0.0,5.4666666666666615,3.085714285714286,11.5,4.92857142857143,0.19999999999999882,0.0857142857142852
2021-04-11,39.0,19.0,41.3,2021,4,11,0.0,14.9,1.5,9.1,25.2,0.2,0.0,0.6,0.0,17.96666666666666,7.9142857142857155,17.766666666666666,7.642857142857144,13.966666666666663,5.985714285714285
2021-04-12,11.5,0.0,0.0,2021,4,12,39.0,0.0,14.9,19.0,9.1,25.2,41.3,0.0,0.6,16.83333333333333,9.557142857142859,9.366666666666667,7.642857142857144,13.766666666666664,5.985714285714285
2021-04-13,0.0,25.1,0.0,2021,4,13,11.5,39.0,0.0,0.0,19.0,9.1,0.0,41.3,0.0,16.83333333333333,9.557142857142859,14.700000000000001,11.22857142857143,13.766666666666664,5.985714285714285
2021-04-14,2.2,10.4,41.6,2021,4,14,0.0,11.5,39.0,25.1,0.0,19.0,0.0,0.0,41.3,4.566666666666662,9.871428571428572,11.833333333333334,12.714285714285717,13.866666666666665,11.928571428571429
2021-04-15,11.2,0.6,47.5,2021,4,15,2.2,0.0,11.5,10.4,25.1,0.0,41.6,0.0,0.0,4.4666666666666615,11.257142857142858,12.033333333333333,12.771428571428572,29.7,18.714285714285715
2021-04-16,9.8,0.0,0.0,2021,4,16,11.2,2.2,0.0,0.6,10.4,25.1,47.5,41.6,0.0,7.733333333333328,10.528571428571428,3.6666666666666665,9.171428571428574,29.7,18.62857142857143
2021-04-17,8.2,0.0,19.3,2021,4,17,9.8,11.2,2.2,0.0,0.6,10.4,0.0,47.5,41.6,9.733333333333329,11.700000000000001,0.19999999999999998,7.871428571428573,22.266666666666666,21.385714285714283
2021-04-18,0.0,0.0,0.0,2021,4,18,8.2,9.8,11.2,0.0,0.0,0.6,19.3,0.0,47.5,5.999999999999996,6.128571428571428,0.0,5.157142857142858,6.433333333333331,15.485714285714284
2021-04-19,0.0,0.0,0.0,2021,4,19,0.0,8.2,9.8,0.0,0.0,0.0,0.0,19.3,0.0,2.7333333333333285,4.485714285714286,0.0,5.157142857142858,6.433333333333331,15.485714285714286
2021-04-20,0.0,0.0,0.0,2021,4,20,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,19.3,0.0,4.485714285714286,0.0,1.5714285714285725,0.0,15.485714285714286
2021-04-21,0.0,6.1,0.0,2021,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.171428571428572,2.033333333333333,0.9571428571428581,0.0,9.542857142857143
2021-04-22,0.0,0.0,0.3,2021,4,22,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,2.033333333333333,0.8714285714285724,0.09999999999999763,2.7999999999999994
2021-04-23,0.0,0.0,0.0,2021,4,23,0.0,0.0,0.0,0.0,6.1,0.0,0.3,0.0,0.0,0.0,1.1714285714285713,2.033333333333333,0.8714285714285724,0.09999999999999763,2.7999999999999994
2021-04-24,42.0,1.7,4.8,2021,4,24,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.3,0.0,13.999999999999995,6.0,0.5666666666666667,1.1142857142857152,1.6999999999999975,0.7285714285714275
2021-04-25,0.0,14.8,0.7,2021,4,25,42.0,0.0,0.0,1.7,0.0,0.0,4.8,0.0,0.3,13.999999999999995,6.0,5.5,3.22857142857143,1.833333333333331,0.8285714285714275
2021-04-26,0.0,0.0,3.4,2021,4,26,0.0,42.0,0.0,14.8,1.7,0.0,0.7,4.8,0.0,13.999999999999995,6.0,5.5,3.22857142857143,2.9666666666666637,1.3142857142857132
2021-04-27,0.0,0.0,0.0,2021,4,27,0.0,0.0,42.0,0.0,14.8,1.7,3.4,0.7,4.8,0.0,6.0,4.933333333333334,3.22857142857143,1.3666666666666643,1.3142857142857132
2021-04-28,0.0,18.8,0.0,2021,4,28,0.0,0.0,0.0,0.0,0.0,14.8,0.0,3.4,0.7,0.0,6.0,6.266666666666667,5.0428571428571445,1.1333333333333309,1.3142857142857132
2021-04-29,0.0,0.0,0.0,2021,4,29,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,3.4,0.0,6.0,6.266666666666667,5.0428571428571445,0.0,1.2714285714285702
2021-04-30,6.0,0.0,17.0,2021,4,30,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,1.9999999999999953,6.857142857142857,6.266666666666667,5.0428571428571445,5.666666666666664,3.699999999999999
2021-05-01,0.0,1.4,0.6,2021,5,1,6.0,0.0,0.0,0.0,0.0,18.8,17.0,0.0,0.0,1.9999999999999953,0.8571428571428571,0.4666666666666666,5.000000000000002,5.8666666666666645,3.099999999999999
2021-05-02,7.7,7.1,27.3,2021,5,2,0.0,6.0,0.0,1.4,0.0,0.0,0.6,17.0,0.0,4.566666666666662,1.957142857142857,2.8333333333333335,3.9000000000000012,14.966666666666663,6.8999999999999995
2021-05-03,16.1,5.8,2.3,2021,5,3,7.7,0.0,6.0,7.1,1.4,0.0,27.3,0.6,17.0,7.933333333333329,4.257142857142857,4.766666666666667,4.7285714285714295,10.066666666666665,6.742857142857142
2021-05-04,4.6,10.9,20.6,2021,5,4,16.1,7.7,0.0,5.8,7.1,1.4,2.3,27.3,0.6,9.466666666666661,4.914285714285714,7.933333333333333,6.285714285714287,16.73333333333333,9.685714285714285
2021-05-05,0.0,1.4,0.0,2021,5,5,4.6,16.1,7.7,10.9,5.8,7.1,20.6,2.3,27.3,6.899999999999996,4.914285714285714,6.033333333333332,3.8000000000000007,7.633333333333332,9.685714285714285
2021-05-06,3.4,0.8,0.0,2021,5,6,0.0,4.6,16.1,1.4,10.9,5.8,0.0,20.6,2.3,2.666666666666662,5.3999999999999995,4.366666666666666,3.914285714285715,6.8666666666666645,9.685714285714285
2021-05-07,0.0,19.4,0.7,2021,5,7,3.4,0.0,4.6,0.8,1.4,10.9,0.0,0.0,20.6,1.1333333333333286,4.542857142857143,7.199999999999998,6.685714285714286,0.23333333333333095,7.357142857142857
2021-05-08,0.0,0.0,0.0,2021,5,8,0.0,3.4,0.0,19.4,0.8,1.4,0.7,0.0,0.0,1.1333333333333286,4.542857142857143,6.733333333333332,6.485714285714287,0.23333333333333095,7.271428571428571
2021-05-09,5.2,0.0,0.5,2021,5,9,0.0,0.0,3.4,0.0,19.4,0.8,0.0,0.7,0.0,1.7333333333333287,4.185714285714286,6.466666666666665,5.471428571428572,0.39999999999999764,3.442857142857142
